[2026-07-02_13-31-02] Attempt:    0 | t:    0             | Temperature: 500.0000 | Score: 263595.0000
[2026-07-02_13-31-02] Attempt:    1 | t:    0             | Temperature: 475.0000 | Score: 263595.0000
[2026-07-02_13-31-02] Attempt:    2 | t:    0             | Temperature: 451.2500 | Score: 263595.0000
[2026-07-02_13-31-02] Attempt:    3 | t:    0             | Temperature: 428.6875 | Score: 262141.0000
[2026-07-02_13-31-02] Attempt:    4 | t:    0             | Temperature: 407.2531 | Score: 262141.0000
[2026-07-02_13-31-02] Attempt:    5 | t:    0             | Temperature: 386.8905 | Score: 262654.0000
[2026-07-02_13-31-02] Attempt:    6 | t:    0             | Temperature: 367.5459 | Score: 262823.0000
[2026-07-02_13-31-02] Attempt:    7 | t:    0             | Temperature: 349.1686 | Score: 262823.0000
[2026-07-02_13-31-02] Attempt:    8 | t:    0             | Temperature: 331.7102 | Score: 262823.0000
[2026-07-02_13-31-02] Attempt:    9 | t:    0             | Temperature: 315.1247 | Score: 262823.0000
[2026-07-02_13-31-02] Attempt:   10 | t:    0             | Temperature: 299.3685 | Score: 262804.0000
[2026-07-02_13-31-02] Attempt:   11 | t:    0             | Temperature: 284.4000 | Score: 262839.0000
[2026-07-02_13-31-02] Attempt:   12 | t:    0             | Temperature: 270.1800 | Score: 262839.0000
[2026-07-02_13-31-02] Attempt:   13 | t:    0             | Temperature: 256.6710 | Score: 262839.0000
[2026-07-02_13-31-02] Attempt:   14 | t:    0             | Temperature: 243.8375 | Score: 262839.0000
[2026-07-02_13-31-02] Attempt:   15 | t:    0             | Temperature: 231.6456 | Score: 257014.0000
[2026-07-02_13-31-02] Attempt:   16 | t:    0             | Temperature: 220.0633 | Score: 257154.0000
[2026-07-02_13-31-02] Attempt:   17 | t:    0             | Temperature: 209.0602 | Score: 257154.0000
[2026-07-02_13-31-02] Attempt:   18 | t:    0             | Temperature: 198.6072 | Score: 257154.0000
[2026-07-02_13-31-02] Attempt:   19 | t:    0             | Temperature: 188.6768 | Score: 257154.0000
[2026-07-02_13-31-02] Attempt:   20 | t:    0             | Temperature: 179.2430 | Score: 257154.0000
[2026-07-02_13-31-02] Attempt:   21 | t:    0             | Temperature: 170.2808 | Score: 257205.0000
[2026-07-02_13-31-02] Attempt:   22 | t:    0             | Temperature: 161.7668 | Score: 257205.0000
