[2026-07-02 12:53:15] Attempt:    0 | t:    0             | Temperature: 1000.0000 | Score: 17462.0000
[2026-07-02 12:53:15] Attempt:    1 | t:    0             | Temperature: 950.0000 | Score: 17462.0000
[2026-07-02 12:53:15] Attempt:    2 | t:    0             | Temperature: 902.5000 | Score: 18239.0000
[2026-07-02 12:53:15] Attempt:    3 | t:    0             | Temperature: 857.3750 | Score: 18239.0000
[2026-07-02 12:53:15] Attempt:    4 | t:    0             | Temperature: 814.5062 | Score: 18239.0000
[2026-07-02 12:53:15] Attempt:    5 | t:    0             | Temperature: 773.7809 | Score: 17923.0000
[2026-07-02 12:53:15] Attempt:    6 | t:    0             | Temperature: 735.0919 | Score: 17923.0000
[2026-07-02 12:53:15] Attempt:    7 | t:    0             | Temperature: 698.3373 | Score: 17923.0000
[2026-07-02 12:53:15] Attempt:    8 | t:    0             | Temperature: 663.4204 | Score: 17935.0000
[2026-07-02 12:53:15] Attempt:    9 | t:    0             | Temperature: 630.2494 | Score: 19461.0000
[2026-07-02 12:53:15] Attempt:   10 | t:    0             | Temperature: 598.7369 | Score: 19461.0000
[2026-07-02 12:53:15] Attempt:   11 | t:    0             | Temperature: 568.8001 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   12 | t:    0             | Temperature: 540.3601 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   13 | t:    0             | Temperature: 513.3421 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   14 | t:    0             | Temperature: 487.6750 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   15 | t:    0             | Temperature: 463.2912 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   16 | t:    0             | Temperature: 440.1267 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   17 | t:    0             | Temperature: 418.1203 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   18 | t:    0             | Temperature: 397.2143 | Score: 19770.0000
[2026-07-02 12:53:15] Attempt:   19 | t:    0             | Temperature: 377.3536 | Score: 20562.0000
[2026-07-02 12:53:15] Attempt:   20 | t:    0             | Temperature: 358.4859 | Score: 20562.0000
[2026-07-02 12:53:15] Attempt:   21 | t:    0             | Temperature: 340.5616 | Score: 20562.0000
